variant,d,next_d,symbol,dir,last_close,vol_today,rrv,adx,next_close,next_ret
new,2026-06-17,2026-06-18,JINDALSAW,breakout,259.0,2830722,1.058,49.9,264.09,0.019652509652509555
new,2026-06-17,2026-06-18,CREDITACC,breakout,1434.0,305396,1.377,49.0,1416.8,-0.011994421199442152
new,2026-06-17,2026-06-18,CARTRADE,breakout,2611.4,8381396,6.751,50.6,2633.4,0.008424599831508003
new,2026-06-17,2026-06-18,DATAPATTNS,breakout,4548.0,2229391,1.71,38.4,4761.4,0.04692172383465251
new,2026-06-17,2026-06-18,DMART,breakout,4300.0,1181288,2.401,57.9,4306.0,0.0013953488372093023
new,2026-06-17,2026-06-18,KAJARIACER,breakout,1153.0,514306,2.679,55.2,1164.5,0.00997398091934085
new,2026-06-17,2026-06-18,NEWGEN,breakout,493.55,9810204,2.855,54.0,484.15,-0.019045689393171986
new,2026-06-17,2026-06-18,TITAGARH,breakout,922.0,2167066,1.665,44.3,931.0,0.009761388286334056
new,2026-06-17,2026-06-18,ICICIGI,breakout,1793.5,948065,1.451,55.6,1828.9,0.019737942570393137
new,2026-06-17,2026-06-18,NBCC,breakout,113.01,27737450,1.335,53.8,109.94,-0.027165737545350035
new,2026-06-17,2026-06-18,MGL,breakout,1203.5,545076,2.361,58.7,1211.4,0.006564187785625336
new,2026-06-17,2026-06-18,BDL,breakout,1244.9,2453367,1.816,62.1,1301.0,0.0450638605510482
new,2026-06-17,2026-06-18,PGEL,breakout,537.25,5626450,1.504,65.4,555.8,0.03452768729641685
new,2026-06-17,2026-06-18,FINCABLES,breakout,1120.0,896034,1.363,47.1,1152.3,0.028839285714285675
new,2026-06-17,2026-06-18,MAZDOCK,breakout,2484.3,1473351,2.071,62.2,2535.6,0.02064967999033922
new,2026-06-17,2026-06-18,DIXON,breakout,12781.0,1689515,3.199,51.7,12787.0,0.00046944683514591975
new,2026-06-17,2026-06-18,TRENT,breakout,2987.9,5654297,4.941,60.0,3167.0,0.05994176511931454
new,2026-06-17,2026-06-18,NYKAA,breakout,279.55,9418015,1.246,57.9,284.1,0.016276158111250265
new,2026-06-17,2026-06-18,KFINTECH,breakout,868.85,2309312,2.292,67.5,897.75,0.03326235828969325
new,2026-06-17,2026-06-18,REDINGTON,breakout,250.0,8272862,1.553,47.2,271.0,0.084
old,2026-06-18,2026-06-19,WELSPUNLIV,breakout,150.6,26541621,15.89,69.7,161.25,0.07071713147410362
old,2026-06-18,2026-06-19,NIACL,breakout,186.25,86617237,103.807,53.7,189.89,0.01954362416107375
new,2026-06-18,2026-06-19,OLECTRA,breakout,1451.0,3584538,3.757,63.9,1528.0,0.05306685044796692
new,2026-06-18,2026-06-19,HDFCBANK,breakout,800.05,41063407,1.082,42.0,782.35,-0.022123617273920294
new,2026-06-18,2026-06-19,AMBER,breakout,7960.0,449978,1.035,51.6,8033.0,0.009170854271356783
new,2026-06-18,2026-06-19,CARBORUNIV,breakout,1203.6,2072437,12.107,53.7,1256.3,0.04378531073446332
new,2026-06-18,2026-06-19,UNIONBANK,breakout,175.6,14183673,1.037,47.4,175.72,0.0006833712984054929
new,2026-06-18,2026-06-19,TATAINVEST,breakout,694.9,1196989,2.942,55.2,690.2,-0.0067635631026045934
new,2026-06-18,2026-06-19,JSWENERGY,breakout,577.35,3478999,1.011,26.9,577.0,-0.0006062180652983852
new,2026-06-18,2026-06-19,ICICIPRULI,breakout,507.05,2833433,1.639,64.6,515.85,0.0173552904052855
new,2026-06-18,2026-06-19,GODREJIND,breakout,1092.0,517207,4.297,51.7,1106.2,0.013003663003663046
new,2026-06-18,2026-06-19,STARHEALTH,breakout,561.0,7157398,12.523,54.1,571.6,0.018894830659536583
new,2026-06-18,2026-06-19,RRKABEL,breakout,2323.2,1680268,2.384,21.6,2308.6,-0.00628443526170795
new,2026-06-18,2026-06-19,LICI,breakout,435.8,11056167,1.77,45.9,441.6,0.013308857273978915
new,2026-06-18,2026-06-19,MFSL,breakout,1657.5,1062572,1.747,42.0,1684.7,0.016410256410256438
new,2026-06-18,2026-06-19,BEL,breakout,424.35,23534750,1.805,49.2,425.6,0.0029456816307293506
new,2026-06-18,2026-06-19,REDINGTON,breakout,271.0,41886320,7.471,63.9,280.78,0.03608856088560876
new,2026-06-18,2026-06-19,NETWEB,breakout,5097.0,3611487,1.318,51.3,5170.0,0.014322150284481068
new,2026-06-18,2026-06-19,FINCABLES,breakout,1152.3,985541,1.447,64.9,1169.9,0.015273800225635804
new,2026-06-18,2026-06-19,FIVESTAR,breakout,504.35,6458696,4.301,59.4,518.8,0.02865073857440256
new,2026-06-18,2026-06-19,ZFCVINDIA,breakout,2586.65,268242,3.203,48.2,2633.35,0.018054240040206372
new,2026-06-18,2026-06-19,PGEL,breakout,555.8,4111424,1.061,67.4,561.35,0.00998560633321351
new,2026-06-18,2026-06-19,NYKAA,breakout,284.1,36098183,4.565,71.1,302.2,0.06370996128123887
new,2026-06-18,2026-06-19,TRENT,breakout,3167.0,3683646,2.654,72.5,3180.8,0.00435743605936223
new,2026-06-18,2026-06-19,WELSPUNLIV,breakout,150.6,26541621,15.89,69.7,161.25,0.07071713147410362
